Num_Col,Location,Date_Fieldwork,Species,Length,Width,Number_Active_Holes,Vegetation,Out_Temp,In_Temp,Soil_pH,Time_Photo,Photo_File,Sky,Light_Percentage
1,Montefrio,02-07-26,C,568,295,10,G/T/B,22.5,24.7,4.7,8:19,IMG_20260207_081903.jpg,P,81.15
2,Montefrio,02-07-26,C,240,220,13,G/T/B,28.3,23.3,4.4,8:40,IMG_20260207_083925.jpg,P,74.15
3,Montefrio,02-07-26,C,763,460,21,G/T/B,29.1,22.5,4.6,8:56,IMG_20260207_085621.jpg,P,66.35
4,Montefrio,02-07-26,C,920,910,16,G/T/B,27.7,23.0,4.5,9:14,IMG_20260207_091608.jpg,S,58.7
5,Montefrio,02-07-26,C,310,97,5,G/T/B,25.7,23.3,4.9,9:34,IMG_20260207_093449.jpg,S,48.3
6,Montefrio,02-07-26,C,763,449,37,G/T/B,24.0,22.0,4.4,9:51,IMG_20260207_094951.jpg,S,45.89
7,Montefrio,02-07-26,L,930,130,6,G,31.8,24.1,4.4,10:14,IMG_20260207_101811.jpg,P,93.06
8,Montefrio,02-07-26,L,1550,840,34,G,35.0,25.5,4.9,10:44,IMG_20260207_104431.jpg,P,88.27
9,Montefrio,02-07-26,L,1800,1352,26,G,38.3,25.5,4.4,10:59,IMG_20260207_105957.jpg,P,82.0
10,Montefrio,02-07-26,L,1170,871,15,GT,36.3,25.8,5.0,11:16,IMG_20260207_111741.jpg,P,83.88
11,Montefrio,02-07-26,C,900,530,23,G,39.1,23.9,4.8,11:59,IMG_20260207_115955.jpg,P,94.9
12,Montefrio,02-07-26,L,540,410,31,G,41.5,25.5,4.2,12:03,IMG_20260207_120311.jpg,P,92.92
13,Nemizaque,02-08-26,C,2140,797,40,G/T/B,31.1,24.7,5.0,9:25,IMG_20260208_092650.jpg,S,83.3
14,Nemizaque,02-08-26,L,767,219,9,G/B,30.5,23.5,5.0,9:46,IMG_20260208_094624.jpg,S,91.65
15,Nemizaque,02-08-26,L,556,360,9,G/B,35.9,23.9,4.7,10:01,IMG_20260208_100201.jpg,S,91.46
16,Nemizaque,02-08-26,C,650,320,7,G/B,38.0,24.7,4.9,10:12,IMG_20260208_101254.jpg,S,88.68
17,Nemizaque,02-08-26,L,346,170,7,G/T/B,29.1,23.3,5.0,10:48,IMG_20260208_104854.jpg,S,77.68
18,Nemizaque,02-08-26,L,643,415,13,G/T/B,33.0,23.9,5.0,11:04,IMG_20260208_110517.jpg,S,72.7
