Location,Latitude,Longitude
Agua Buena,6.2813530000000002,-73.130474000000007
Cantera,6.1771989999999999,-73.187331999999998
Choro Bajo,6.6458800000000000,-73.162104999999997
El Raizal,6.149355000000000,-73.18629900000001
Grima Baja,6.3097070000000004,-73.155446999999995
La Siberia,6.2754770000000004,-73.1516690000000
La Victoria,6.1561380000000003,-73.188873999999998
Montefrio,6.2705010000000003,-73.144478000000007
Morario,6.309605000000000,-73.135131999999999
Nemizaque,6.2283379999999999,-73.177004999999994
Pozo Gallo,6.2686510000000002,-73.1555730000000
Villas,6.2614900000000002,-73.168187000000003
